#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF00055  11 20 Small_nucleolar_RNA_SNORD96_family Predicted;_PFOLD
RF00056  135 84 Small_nucleolar_RNA_SNORA71 Predicted;_PFOLD
RF00057  68 60 RyhB_RNA Predicted;_PFOLD;_Moxon_SJ
RF00058  169 12 HgcF_RNA Predicted;_PFOLD
#RF00059  105 234 TPP_riboswitch_(THI_element) Published;_PMID:12376536;_Moxon_SJ
RF00060  133 12 HgcE_RNA Predicted;_PFOLD
RF00061  253 162 Hepatitis_C_virus_internal_ribosome_entry_site Published;_PMID:12212848
RF00062  131 14 HgcC_family_RNA Predicted;_RNAalifold
RF00063  98 14 SscA_RNA Predicted;_PFOLD
RF00064  279 12 HgcG_RNA Predicted;_PFOLD
RF00065  129 14 Small_nucleolar_RNA_snoR9 Published;_PMID:12032319
RF00066  63 116 U7_small_nuclear_RNA Predicted;_PFOLD;_Griffiths-Jones_SR
RF00067  9 38 Small_nucleolar_RNA_SNORD15 Predicted;_PFOLD;_Griffiths-Jones_SR,_Daub_J
RF00068  9 12 Small_nucleolar_RNA_SNORD21 Predicted;_PFOLD;_Griffiths-Jones_SR,_Daub_J
RF00069  9 30 Small_nucleolar_RNA_SNORD24 Predicted;_PFOLD;_Griffiths-Jones_SR,_Daub_J
RF00070  7 22 Small_nucleolar_RNA_SNORD29 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00071  71 54 Small_nucleolar_RNA_SNORD73 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00072  57 14 Small_nucleolar_RNA_SNORA75 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00073  49 22 mir-156_microRNA_precursor Predicted;_PFOLD
RF00074  43 22 mir-29__microRNA_precursor Predicted;_PFOLD
RF00075  45 62 mir-166_microRNA_precursor Predicted;_PFOLD
RF00076  77 42 mir-181_microRNA_precursor Predicted;_PFOLD
RF00077  170 14 SraB_RNA Predicted;_PFOLD
RF00078  29 36 MicA_sRNA Predicted;_Udekwu_KI;_WAR
RF00079  88 50 OmrA-B_family Predicted;_WAR
RF00080  81 36 yybP-ykoY_leader Predicted;_Barrick_JE,_Breaker_RR
RF00081  107 22 ArcZ_RNA Predicted;_PFOLD
RF00082  178 18 SraG_RNA Predicted;_PFOLD
RF00083  214 46 GlmZ_RNA_activator_of_glmS_mRNA Published;_PMID:18351803
RF00084  256 12 CsrC_RNA_family Predicted;_PFOLD
RF00085  84 44 Small_nucleolar_RNA_SNORD28 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00086  9 24 Small_nucleolar_RNA_SNORD27 Predicted;_Moxon_SJ,_Daub_J
RF00087  77 38 Small_nucleolar_RNA_SNORD26 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00088  71 44 Small_nucleolar_RNA_SNORD30 Predicted;_Daub_J
RF00089  70 56 Small_nucleolar_RNA_SNORD31 Predicted;_Daub_J
RF00090  200 50 Small_nucleolar_RNA_SNORA74 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00091  51 22 Small_nucleolar_RNA_SNORA62/SNORA6_family Predicted;_PFOLD;_Moxon_SJ
RF00092  47 18 Small_nucleolar_RNA_SNORA63 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00093  9 34 Small_nucleolar_RNA_SNORD18 Predicted;_PFOLD;_Griffiths-Jones_SR
RF00094  63 68 Hepatitis_delta_virus_ribozyme Published;_PMID:9783582
RF00095  7 52 Pyrococcus_C/D_box_small_nucleolar_RNA Predicted;_PFOLD
RF00096  136 114 U8_small_nucleolar_RNA Published;_PMID:11675000;_Gardner_PP
RF00097  108 54 Plant_small_nucleolar_RNA_R71 Predicted;_PFOLD
RF00099  127 102 Small_nucleolar_RNA_SNORD22 Predicted;_PFOLD;_Daub_J
RF00100  332 94 7SK_RNA Published;_PMID:1646389
RF00101  146 30 SraC/RyeA_RNA Predicted;_PFOLD
RF00102  91 110 VA_RNA Published;_PMID:8809020,_Moxon_SJ
RF00103  78 136 mir-1_microRNA_precursor_family Predicted;_PFOLD
RF00104  76 76 mir-10_microRNA_precursor_family Predicted;_PFOLD
RF00105  83 68 Small_nucleolar_RNA_SNORD115 Predicted;_PFOLD;_Daub_J
RF00106  73 22 RNAI Published;_PMID:7535193
RF00107  49 14 FinP Published;_PMID:9917389
RF00108  93 100 Small_nucleolar_RNA_SNORD116 Predicted;_PFOLD;_Daub_J
RF00109  37 40 Vimentin_3'_UTR_protein-binding_region Published;_PMID:9241253
RF00110  80 20 RybB_RNA Predicted;_PFOLD
RF00111  101 38 RyeB_RNA Predicted;_PFOLD
RF00112  86 38 CyaR/Rye_RNA Predicted;_PFOLD
RF00113  151 38 QUAD_RNA Predicted;_PFOLD
RF00114  117 160 Ribosomal_S15_leader Published;_PMID:8955900
RF00115  183 20 IS061_RNA Predicted;_PFOLD
RF00116  79 20 C0465_RNA Predicted;_PFOLD
RF00117  223 22 C0719_RNA Predicted;_ILM
RF00118  69 18 rydB_RNA Predicted;_RNAalifold
RF00119  80 14 C0299_RNA Predicted;_PFOLD
RF00121  125 20 MicC_RNA Predicted;_PFOLD
RF00122  115 14 GadY Predicted;_ILM
RF00124  207 14 IS102_RNA Predicted;_PFOLD
RF00125  107 12 IS128_RNA Predicted;_RNAalifold
RF00126  306 22 ryfA_RNA Predicted;_RNAalifold
RF00127  95 160 t44_RNA Predicted;_LocaRNA;_Barquist_L
RF00128  149 38 Glm_Y_RNA_activator_of_glmS_mRNA Published;_PMID:17854828
RF00129  79 60 mir-103/107_microRNA_precursor Predicted;_PFOLD
RF00130  107 86 mir-192/215_microRNA_precursor Predicted;_PFOLD
RF00131  43 100 mir-30_microRNA_precursor Predicted;_PFOLD
RF00132  7 26 Small_nucleolar_RNA_R24 Predicted;_PFOLD
RF00133  86 154 Small_nucleolar_RNA_Z195/SNORD33/SNORD32_family Predicted;_PFOLD;_Daub_J
RF00134  85 50 Small_nucleolar_RNA_Z196/R39/R59_family Predicted;_PFOLD
RF00135  15 12 Small_nucleolar_RNA_Z223 Predicted;_PFOLD
RF00136  78 48 Small_nucleolar_RNA_SNORD81 Predicted;_PFOLD
RF00137  17 16 Small_nucleolar_RNA_SNORD83 Predicted;_PFOLD
RF00138  39 12 Small_nucleolar_RNA_SNORD16 Predicted;_PFOLD
RF00139  133 62 Small_nucleolar_RNA_SNORA72 Predicted;_PFOLD
RF00140  111 82 Alpha_operon_ribosome_binding_site Published;_PMID:11504736
RF00142  27 16 Small_nucleolar_RNA_Z118/Z121/Z120 Predicted;_PFOLD
RF00143  78 52 mir-6_microRNA_precursor Predicted;_PFOLD
RF00144  103 84 mir-199_microRNA_precursor Predicted;_PFOLD
RF00145  78 26 Small_nucleolar_RNA_Z105 Predicted;_CMfinder
RF00147  82 32 Small_nucleolar_RNA_SNORD34 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00149  11 20 Small_nucleolar_RNA_Z103 Predicted;_PFOLD
RF00150  11 16 Small_nucleolar_RNA_SNORD42 Predicted;_PFOLD;_Daub_J
RF00151  66 70 Small_nucleolar_RNA_SNORD58 Predicted;_PFOLD
RF00152  85 60 Small_nucleolar_RNA_SNORD79 Predicted;_PFOLD;_Daub_J
RF00153  87 32 Small_nucleolar_RNA_SNORD62 Predicted;_PFOLD
RF00154  71 50 Small_nucleolar_RNA_SNORD63 Predicted;_PFOLD
RF00155  134 54 Small_nucleolar_RNA_SNORA66 Predicted;_PFOLD
RF00156  136 90 Small_nucleolar_RNA_SNORA70 Predicted;_PFOLD
RF00157  81 44 Small_nucleolar_RNA_SNORD55/SNORD39 Predicted;_PFOLD
RF00158  71 58 Small_nucleolar_RNA_SNORD82 Predicted;_PFOLD
RF00159  9 14 Small_nucleolar_RNA_Z168/Z174 Predicted;_PFOLD
RF00160  9 22 Small_nucleolar_RNA_Z159/U59 Predicted;_PFOLD;_Daub_J
RF00161  65 22 Nanos_3'_UTR_translation_control_element Published;_PMID:10882131
#RF00162  108 870 SAM_riboswitch_(S_box_leader) Published;_PMID:10094622
RF00163  29 62 Hammerhead_ribozyme_(type_I) Published;_PMID:9632772
RF00164  25 78 Coronavirus_3'_stem-loop_II-like_motif_(s2m) Published;_PMID:15630477
RF00165  37 30 Coronavirus_3'_UTR_pseudoknot Published;_PMID:10482585
RF00166  134 78 PrrB/RsmZ_RNA_family Predicted;_Filiatrault_M,_Gardner_P
#RF00167  103 270 Purine_riboswitch Published;_PMID:12787499
RF00168  185 98 Lysine_riboswitch Published;_PMID:12787499
RF00169  98 534 Bacterial_small_signal_recognition_particle_RNA Published;_PMID:19838050
RF00170  73 24 Retron_msr_RNA Predicted;_PFOLD
RF00171  69 20 Tombusvirus_5'_UTR Published;_PMID:11162089
RF00172  25 20 ctgf/hcs24_CAESAR Published;_PMID:11032028
RF00173  53 14 Hairpin_ribozyme Published;_PMID:7966321
RF00174  202 864 Cobalamin_riboswitch Predicted;_PFOLD
RF00175  41 144 Human_immunodeficiency_virus_type_1_dimerisation_initiation_site Published;_PMID:8627772
RF00176  51 38 Tombusvirus_3'_UTR_region_IV Published;_PMID:12954222
RF00177  917 188 Bacterial_small_subunit_ribosomal_RNA Published;_PMID:11869452
RF00178  69 38 mir-24_microRNA_precursor_family Predicted;_PFOLD
RF00179  37 18 GAIT_element Published;_PMID:12588972
RF00180  13 28 Renin_stability_regulatory_element_(REN-SRE) Published;_PMID:12933794
RF00181  11 120 Small_nucleolar_RNA_SNORD113/SNORD114_family Published;_PMID:12045206
RF00182  61 8 Coronavirus_packaging_signal Published;_PMID:12791173
RF00183  97 36 G-CSF_factor_stem-loop_destabilising_element_(SLDE) Published;_PMID:11865046
RF00184  55 12 Potato_virus_X_cis-acting_regulatory_element Published;_PMID:12581634
RF00185  49 170 Flavivirus_3'_UTR_cis-acting_replication_element_(CRE) Published;_PMID:9696848;_Bateman_A,_Moxon_SJ,_Weinberg_Z
RF00186  74 56 Small_nucleolar_RNA_SNORD101 Predicted;_PFOLD
RF00187  73 26 Small_nucleolar_RNA_SNORD102 Predicted;_PFOLD
RF00188  84 86 Small_nucleolar_RNA_SNORD103/SNORD85 Predicted;_Moxon_SJ
RF00189  9 12 Small_nucleolar_RNA_SNORD95 Predicted;_PFOLD
RF00190  136 62 Small_nucleolar_RNA_SNORA16B/SNORA16A_family Predicted;_PFOLD
RF00191  149 56 Small_nucleolar_RNA_SNORA57 Predicted;_PFOLD
RF00192  25 12 Bovine_leukaemia_virus_RNA_packaging_signal Published;_PMID:12359429
RF00193  147 20 Citrus_tristeza_virus_replication_signal Published;_PMID:12202214
RF00194  41 52 Rubella_virus_3'_cis-acting_element Published;_PMID:10074193
RF00195  122 26 RsmY_RNA_family Predicted;_PFOLD
RF00196  36 16 Alfalfa_mosaic_virus_RNA_1_5'_UTR_stem-loop Published;_PMID:14512577
RF00198  49 66 SL1_RNA Published;_PMID:12949121;_Moxon_SJ
RF00199  57 62 SL2_RNA Published;_PMID:10958663;_Moxon_SJ
RF00200  21 36 Small_nucleolar_RNA_Z199 Predicted;_PFOLD
RF00201  17 16 Small_nucleolar_RNA_Z278 Predicted;_PFOLD;_Daub_J
RF00202  13 14 Small_nucleolar_RNA_R66 Predicted;_PFOLD
RF00203  11 20 Small_nucleolar_RNA_R160 Predicted;_Griffiths-Jones_SR
RF00204  11 20 Small_nucleolar_RNA_R12 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00205  13 16 Small_nucleolar_RNA_R41 Predicted;_Griffiths-Jones_SR
RF00206  11 44 Small_nucleolar_RNA_U54 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00207  45 14 K10_transport/localisation_element_(TLS) Published;_PMID:8582290
RF00208  88 14 Small_nucleolar_RNA_R72 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00209  151 52 Pestivirus_internal_ribosome_entry_site_(IRES) Published;_PMID:11142379
RF00210  245 186 Aphthovirus_internal_ribosome_entry_site_(IRES) Published;_PMID:14561883
RF00211  9 18 Small_nucleolar_RNA_SNORD35 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00212  17 16 Small_nucleolar_RNA_SNORD38 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00213  15 40 Small_nucleolar_RNA_R38 Predicted;_PFOLD,_Griffiths-Jones_SR
RF00214  47 54 Retrovirus_direct_repeat_1_(dr1) Published;_PMID:10438832
RF00215  29 58 Tombus_virus_defective_interfering_(DI)_RNA_region_3 Published;_PMID:12477830
RF00216  147 48 c-myc_internal_ribosome_entry_site_(IRES) Published;_PMID:11419940
RF00217  81 30 Small_nucleolar_RNA_SNORD20 Predicted;_Griffiths-Jones_SR
RF00218  13 20 Small_nucleolar_RNA_SNORD46 Predicted;_Griffiths-Jones_SR
RF00220  43 26 Human_rhinovirus_internal_cis-acting_regulatory_element_(CRE) Published;_PMID:9848654
RF00221  9 16 Small_nucleolar_RNA_SNORD43 Predicted;_Griffiths-Jones_SR
RF00222  371 34 Bag-1_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD
RF00223  249 22 bip_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD
RF00224  499 16 FGF-2_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD
RF00225  53 16 Tobamovirus_internal_ribosome_entry_site_(IRES) Published;_PMID:9185586
RF00226  73 14 n-myc_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD
RF00227  19 12 FIE3_(ftz_instability_element_3')_element Predicted;_stemloc,_Bateman_A
RF00228  205 48 Hepatitis_A_virus_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD
#RF00229  123 186 Picornavirus_internal_ribosome_entry_site_(IRES) Predicted;_PFOLD
RF00230  219 130 T-box_leader Published;_PMID:12770710
RF00231  276 52 Small_Cajal_body_specific_RNA_13 Published;_PMID:12409454
RF00232  109 12 Spi-1_(PU.1)_5'_UTR_regulatory_element Published;_PMID:9207037
RF00233  47 58 Tymovirus/Pomovirus_tRNA-like_3'_UTR_element Published;_PMID:15033563
RF00234  172 40 glmS_glucosamine-6-phosphate_activated_ribozyme Published;_PMID:15029187
RF00235  83 16 Plasmid_RNAIII Predicted;_ILM
RF00236  49 32 ctRNA Published;_PMID:12670963
RF00237  63 90 mir-9/mir-79_microRNA_precursor_family Predicted;_PFOLD
RF00238  47 98 ctRNA Predicted;_ILM
RF00239  82 116 mir-124_microRNA_precursor_family Predicted;_PFOLD
RF00240  71 36 RNA-OUT Predicted;_Pfold
RF00241  78 30 mir-8/mir-141/mir-200_microRNA_precursor_family Predicted;_PFOLD
RF00242  41 34 ctRNA Published;_PMID:2478296
RF00243  59 14 traJ_5'_UTR Predicted;_ILM
RF00244  37 12 mir-26_microRNA_precursor_family Predicted;_PFOLD
RF00245  77 96 mir-19_microRNA_precursor_family Predicted;_PFOLD
RF00246  92 68 mir-135_microRNA_precursor_family Predicted;_PFOLD
RF00247  51 16 mir-160_microRNA_precursor_family Predicted;_PFOLD
RF00248  53 12 mir-148/mir-152_microRNA_precursor_family Predicted;_PFOLD
RF00249  79 18 mir-46/mir-47/mir-281_microRNA_precursor_family Predicted;_PFOLD
RF00250  62 94 Trans-activation_response_element_(TAR) Published;_PMID:12882959
RF00251  73 30 mir-219_microRNA_precursor_family Predicted;_PFOLD
RF00252  113 38 Alfalfa_mosaic_virus_coat_protein_binding_(CPB)_RNA Published;_PMID:14718638
RF00253  76 52 mir-101_microRNA_precursor_family Predicted;_PFOLD
RF00254  39 26 mir-16_microRNA_precursor_family Predicted;_PFOLD
RF00255  97 40 mir-218_microRNA_precursor_family Predicted;_PFOLD
RF00256  55 30 mir-196_microRNA_precursor_family Predicted;_PFOLD
RF00257  86 62 mir-194_microRNA_precursor_family Predicted;_PFOLD
RF00258  84 22 mir-130_microRNA_precursor_family Predicted;_PFOLD
RF00259  113 12 Interferon_gamma_5'_UTR_regulatory_element Published;_PMID:11832212
RF00260  29 106 Hepatitis_C_virus_(HCV)_cis-acting_replication_element_(CRE) Published;_PMID:14722290
RF00261  222 26 L-myc_internal_ribosome_entry_site_(IRES) Published;_PMID:14730027
RF00262  69 12 sar_RNA Predicted;_RNAalifold;_Daub_J
RF00263  134 56 Small_nucleolar_RNA_SNORA68 Predicted;_PFOLD
RF00264  75 20 Small_nucleolar_RNA_SNORA64/SNORA10_family Published;_PMID:10487763
RF00265  133 36 Small_nucleolar_RNA_SNORA69 Predicted;_PFOLD
RF00266  72 56 Small_nucleolar_RNA_Z17 Predicted;_PFOLD
RF00267  95 32 Small_nucleolar_RNA_R64/Z200_family Predicted;_PFOLD;_Daub_J
RF00268  80 12 Small_nucleolar_RNA_snoZ7/snoR77 Predicted;_PFOLD
RF00270  73 76 Small_nucleolar_RNA_SNORD61 Predicted;_PFOLD
RF00271  84 48 Small_nucleolar_RNA_SNORD60 Predicted;_PFOLD;_Moxon_SJ
RF00272  67 22 Small_nucleolar_RNA_SNORA67 Predicted;_RNAalifold;_Daub_J
RF00273  72 52 Small_nucleolar_RNA_SNORD59 Predicted;_ILM;_Moxon_SJ,_Daub_J
RF00274  73 50 Small_nucleolar_RNA_SNORD57 Predicted;__Daub_J
RF00275  15 16 Small_nucleolar_RNA_SNORD56 Predicted;_PFOLD;_Moxon_SJ
RF00276  68 44 Small_nucleolar_RNA_SNORD52 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00277  72 60 Small_nucleolar_RNA_SNORD49 Predicted;_Daub_J
RF00278  73 56 Small_nucleolar_RNA_SNORD50 Predicted;_Moxon_SJ
RF00279  9 24 Small_nucleolar_RNA_SNORD45 Predicted;_PFOLD;_Moxon_SJ
RF00280  80 32 Small_nucleolar_RNA_SNORD51 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00281  78 44 Small_nucleolar_RNA_SNORD47 Predicted;_ILM;_Moxon_SJ,_Daub_J
RF00282  64 20 Small_nucleolar_RNA_SNORD48 Predicted;_PFOLD;_Moxon_SJ
RF00283  84 44 small_Cajal_body-specific_RNA_18 Predicted;_PFOLD;_Moxon_SJ
RF00284  81 48 Small_nucleolar_RNA_SNORD74 Predicted;_PFOLD;_Daub_J
RF00285  92 18 Z6_small_nucleolar_RNA Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00286  132 48 Small_Cajal_body_specific_RNA_8 Published;_PMID:12032087
RF00287  61 28 Small_nucleolar_RNA_SNORD44 Predicted;_Moxon_SJ,_Daub_J
RF00288  98 44 Z30_small_nucleolar_RNA Predicted;_PFOLD;_Moxon_SJ
RF00289  71 40 Small_nucleolar_RNA_SNORD104 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00290  141 14 Bamboo_mosaic_potexvirus_(BaMV)_cis-regulatory_element Published;_PMID:14585345
RF00291  47 20 Small_nucleolar_RNA_snoR639/H1 Predicted;_RNAalifold_manual;_Daub_J
RF00292  97 16 Small_nucleolar_RNA_TBR5 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00293  100 18 Small_nucleolar_RNA_snoM1 Predicted;_ILM:_Moxon_SJ
RF00294  89 12 Small_nucleolar_RNA_TBR17 Predicted;_PFOLD;_Moxon_SJ
RF00295  7 14 Small_nucleolar_RNA_TBR7 Predicted;_PFOLD;_Daub_J
RF00296  87 40 Small_nucleolar_RNA_R16 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00300  84 28 Small_nucleolar_RNA_Z221/R21b Predicted;_WAR;_Wilkinson_A
RF00301  11 12 Small_nucleolar_RNA_Z256 Predicted;_Moxon_SJ
RF00302  65 18 Small_nucleolar_RNA_SNORA65 Predicted;_RNAalifold
RF00303  125 26 Small_nucleolar_RNA_snoR86 Predicted;_PFOLD;_Moxon_SJ
RF00304  108 44 Small_nucleolar_RNA_Z279/snoR105/snoR108 Predicted;_PFOLD
RF00305  138 14 Small_nucleolar_RNA_Z248 Predicted;_PFOLD
RF00306  153 14 Small_nucleolar_RNA_Z178 Predicted;_PFOLD
RF00307  51 10 Small_nucleolar_RNA_snoR98 Predicted;_Griffiths-Jones_S
RF00309  11 48 Small_nucleolar_RNA_snR60/Z15/Z230/Z193/J17 Predicted;_Griffiths-Jones_S
RF00310  93 14 Small_nucleolar_RNA_Z165 Predicted;_Moxon_SJ
RF00311  127 46 Small_nucleolar_RNA_Z188 Predicted;_PFOLD
RF00312  133 16 Small_nucleolar_RNA_Z206 Predicted;_Daub_J
RF00313  108 12 Small_nucleolar_RNA_Z173 Predicted;_PFOLD
RF00314  93 16 Small_nucleolar_RNA_Z182 Predicted;_Moxon_SJ
RF00315  81 14 Small_nucleolar_RNA_J33 Predicted;_Moxon_SJ
RF00316  15 34 Small_nucleolar_RNA_R43 Predicted;_ILM;_Moxon_SJ
RF00317  11 16 Small_nucleolar_RNA_Z163/Z177_family Predicted;_Griffiths-Jones_S
RF00318  82 16 Small_nucleolar_RNA_Z175 Predicted;_PFOLD
RF00319  91 12 Small_nucleolar_RNA_SNORA23 Predicted;_RNAalifold;_Griffiths-Jones_S
RF00320  87 14 Small_nucleolar_RNA_Z185 Predicted;_PFOLD;_Moxon_SJ
RF00321  23 18 Small_nucleolar_RNA_Z247 Predicted;_PFOLD;_Moxon_SJ
RF00322  77 12 Small_nucleolar_RNA_SNORA31 Predicted;_RNAalifold
RF00323  66 14 Small_nucleolar_RNA_R79 Predicted;_PFOLD
RF00324  85 64 Small_nucleolar_RNA_MBII-202 Predicted;_PFOLD;_Moxon_SJ
RF00325  79 78 Small_nucleolar_RNA_SNORD53/SNORD92 Predicted;_Moxon_SJ
RF00326  13 18 Small_nucleolar_RNA_Z155 Predicted;_Griffiths-Jones_S
RF00327  109 14 Small_nucleolar_RNA_Z194 Predicted;_PFOLD;_Moxon_SJ
RF00328  93 26 Small_nucleolar_RNA_Z161/Z228 Predicted;_PFOLD;_Moxon_SJ
RF00329  89 14 Small_nucleolar_RNA_Z162 Predicted;_PFOLD;_Moxon_SJ
RF00330  107 18 Small_nucleolar_RNA_Z43 Predicted;_PFOLD;_Moxon_SJ
RF00331  13 8 Small_nucleolar_RNA_Z169 Predicted;_PFOLD
RF00332  91 26 Small_nucleolar_RNA_Z266 Predicted;_PFOLD;_Moxon_SJ
RF00333  37 22 Small_nucleolar_RNA_Z157/R69/R10 Predicted;_PFOLD;_Moxon_SJ
RF00334  81 14 Small_nucleolar_RNA_SNORA3/SNORA45_family Predicted;_RNAalifold
RF00335  102 88 Small_nucleolar_RNA_Z13/snr52 Predicted;_PFOLD;_Moxon_SJ
RF00336  29 12 Small_nucleolar_RNA_J26 Predicted;_ILM;_Moxon_SJ,_Daub_J
RF00337  185 16 Small_nucleolar_RNA_Z112 Predicted;_PFOLD
RF00338  92 14 Small_nucleolar_RNA_snR53 Predicted;_PFOLD;_Daub_J
RF00339  75 24 Small_nucleolar_RNA_snoR60 Predicted;_PFOLD;_Moxon_SJ;_Daub_J
RF00340  69 14 Small_nucleolar_RNA_SNORA36_family Predicted;_PFOLD
RF00341  31 12 Small_nucleolar_RNA_Z39 Predicted;_PFOLD;_Moxon_SJ
RF00342  11 12 Small_nucleolar_RNA_Z40 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00343  90 50 Small_nucleolar_RNA_Z122 Predicted;_PFOLD
RF00344  13 12 Small_nucleolar_RNA_Z267 Predicted;_PFOLD;_Moxon_SJ
RF00345  5 28 Small_nucleolar_RNA_snoR1 Predicted;_PFOLD;_Moxon_SJ
RF00348  7 16 Small_nucleolar_RNA_snoR9 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
RF00349  11 12 Small_nucleolar_RNA_R11/Z151 Predicted;_PFOLD;_Moxon_SJ
RF00350  101 22 Small_nucleolar_RNA_Z152/R70/R12/ Predicted;_PFOLD;_Moxon_SJ
RF00351  91 12 Small_nucleolar_RNA_R20 Predicted;_PFOLD;_Moxon_SJ,_Daub_J
